response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0072,0.0011,0.0000,0.0002,0.0055,0.0001,200,0.3339
0.0045,0.0000,0.0000,0.0001,0.0042,0.0001,200,0.6674
0.0038,0.0000,0.0000,0.0001,0.0036,0.0001,200,1.0007
0.0041,0.0000,0.0000,0.0000,0.0038,0.0001,200,1.3339
0.0051,0.0000,0.0000,0.0000,0.0049,0.0001,200,1.6674
0.0032,0.0000,0.0000,0.0000,0.0031,0.0001,200,2.0006
0.0038,0.0000,0.0000,0.0000,0.0036,0.0001,200,2.3341
0.0049,0.0000,0.0000,0.0000,0.0047,0.0001,200,2.6675
0.0051,0.0000,0.0000,0.0001,0.0049,0.0001,200,3.0006
0.0041,0.0000,0.0000,0.0000,0.0040,0.0001,200,3.3339
0.0042,0.0000,0.0000,0.0000,0.0041,0.0001,200,3.6672
0.0040,0.0000,0.0000,0.0000,0.0038,0.0001,200,4.0006
0.0039,0.0000,0.0000,0.0000,0.0037,0.0001,200,4.3339
0.0040,0.0000,0.0000,0.0000,0.0038,0.0001,200,4.6673
0.0041,0.0000,0.0000,0.0000,0.0039,0.0001,200,5.0006
0.0043,0.0000,0.0000,0.0001,0.0041,0.0001,200,5.3339
0.0037,0.0000,0.0000,0.0000,0.0035,0.0001,200,5.6673
0.0035,0.0000,0.0000,0.0000,0.0034,0.0001,200,6.0006
0.0044,0.0000,0.0000,0.0000,0.0042,0.0000,200,6.3339
0.0038,0.0000,0.0000,0.0000,0.0036,0.0001,200,6.6674
0.0043,0.0000,0.0000,0.0000,0.0041,0.0001,200,7.0005
0.0048,0.0000,0.0000,0.0000,0.0046,0.0001,200,7.3341
0.0039,0.0000,0.0000,0.0000,0.0037,0.0001,200,7.6674
0.0042,0.0000,0.0000,0.0000,0.0041,0.0001,200,8.0007
0.0040,0.0000,0.0000,0.0000,0.0038,0.0001,200,8.3339
0.0047,0.0000,0.0000,0.0000,0.0045,0.0001,200,8.6674
0.0036,0.0000,0.0000,0.0000,0.0034,0.0001,200,9.0006
0.0040,0.0000,0.0000,0.0000,0.0038,0.0001,200,9.3341
0.0037,0.0000,0.0000,0.0000,0.0035,0.0001,200,9.6674
0.0041,0.0000,0.0000,0.0000,0.0039,0.0001,200,10.0008
0.0046,0.0000,0.0000,0.0000,0.0043,0.0001,200,10.3341
0.0041,0.0000,0.0000,0.0000,0.0039,0.0001,200,10.6673
0.0046,0.0000,0.0000,0.0000,0.0044,0.0001,200,11.0008
0.0052,0.0000,0.0000,0.0000,0.0050,0.0001,200,11.3340
0.0046,0.0000,0.0000,0.0000,0.0045,0.0001,200,11.6673
0.0046,0.0000,0.0000,0.0000,0.0044,0.0001,200,12.0008
0.0050,0.0000,0.0000,0.0000,0.0048,0.0001,200,12.3341
0.0041,0.0000,0.0000,0.0000,0.0039,0.0001,200,12.6674
0.0047,0.0000,0.0000,0.0001,0.0045,0.0001,200,13.0007
0.0036,0.0000,0.0000,0.0000,0.0034,0.0001,200,13.3339
0.0045,0.0000,0.0000,0.0000,0.0043,0.0001,200,13.6674
0.0059,0.0000,0.0000,0.0000,0.0057,0.0001,200,14.0006
0.0046,0.0000,0.0000,0.0001,0.0044,0.0001,200,14.3340
